Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.test.ror.json	4517	-	0	0	0	0	0	0	16	92	0	0	0	0	0	0	0	1	0	0	0	104	126	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ror-entite-geographique.json	5227	8	0	73	2	0	0	0	0	107	0	0	1	0	1	0	0	1	0	0	0	265	1157	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-ror-offre-operationnelle.json	4401	6	0	51	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	0	160	370	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ror-organisation-interne.json	5492	5	0	21	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	97	204	0	0	0	4	0	0
fsh-generated/resources/ValueSet-vs-ror-secteur-activite.json	1693	3	0	0	0	0	0	0	1	147	0	0	0	0	0	0	0	0	0	0	0	23	120	0	0	0	1	0	0
/fsh-generated/includes/fsh-link-references.md	288	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1612	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	164	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2029	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/fonctionnalites-ror.md	3290	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/avantages-ml.md	3526	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/change-log.md	222	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/anImage.png	36288	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ci-sis-logo.png	61365	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	4416	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
